Design,n,d,s,MC_Successes,H2_Upper/Exact_Median,H2_Upper/Exact_Min,H2_Upper/Exact_Max,H2_Upper/Lower_Median,H2_Upper/Lower_Min,H2_Upper/Lower_Max,H1_Upper/Exact_Median,H1_Upper/Exact_Min,H1_Upper/Exact_Max,Hinf_Upper/Exact_Median,Hinf_Upper/Exact_Min,Hinf_Upper/Exact_Max
Spiked_rho0.5,100,1000,40,30,1.001946547530371,1.0002899305818846,1.0074372372518938,1.0189798938004766,1.0140077397846918,1.024503561018716,1.0009871020611727,0.9999999999999989,1.0062677257983608,1.0,0.9999999999999984,1.0000000000000016
Spiked_rho0.8,100,1000,40,30,1.009624830724996,1.0020207584111507,1.0349187357281011,1.0758041847119708,1.0425156708012409,1.129257971881258,1.0000000000000027,0.9999999999999934,1.0141763376221997,0.9999999999999987,0.9999999999999938,1.0000000000000067
Gaussian,100,2000,5,30,1.0000142298912114,1.000011290687152,1.0000316493430257,1.0178525604300643,1.016192345159646,1.0221458948710043,1.0000027950018935,0.9999999999999998,1.0001295061693447,1.0,0.9999999999999998,1.0000000000000002
Spiked_rho0.5,100,2000,5,30,1.0001154267487107,1.0000869815298248,1.000195122025547,1.0018427370865672,1.0016095883090805,1.0020175294568965,1.0000610573795314,0.9999999999999994,1.0003490436493767,1.0,0.9999999999999997,1.0000000000000002
Spiked_rho0.8,100,2000,5,30,1.0005463720546217,1.000288293572794,1.0011307832487955,1.0018582014861608,1.001603199491933,1.0025017393861704,1.000195009523488,0.9999999999999991,1.001073701423069,1.0,0.9999999999999996,1.0000000000000004
Gaussian,100,2000,10,30,1.0000177405414008,1.0000114191322784,1.0000486143170362,1.0148540958803216,1.011801139530526,1.016259629764641,1.0000000000000002,0.9999999999999996,1.0002809714654886,1.0,0.9999999999999999,1.0000000000000002
Spiked_rho0.5,100,2000,10,30,1.0003220811834421,1.000195784144932,1.000602247343014,1.0030534693882687,1.0026561754013428,1.0034794767484378,1.0002957610536358,0.9999999999999992,1.0009461067479406,1.0,0.9999999999999998,1.0000000000000004
Spiked_rho0.8,100,2000,10,30,1.001954168550473,1.0011507128156982,1.0049186822104603,1.0044318774438112,1.0036150286250953,1.0075067977696732,1.0010083371689114,0.9999999999999997,1.0019584320629087,1.0,0.9999999999999986,1.000000000000002
Gaussian,100,2000,20,30,1.0000216241299258,1.0000128984245016,1.0000451777422366,1.0097770695307933,1.008136298704698,1.0112580317874007,1.0000599711612592,0.9999999999999997,1.000572807761879,1.0,0.9999999999999997,1.0000000000000002
Spiked_rho0.5,100,2000,20,30,1.0010956708325436,1.0007149641150173,1.0017901494035708,1.0055692307979518,1.0046247305878593,1.0064003319563333,1.00057669687369,0.9999999999999987,1.0016617562853132,1.0,0.9999999999999993,1.0000000000000007
Spiked_rho0.8,100,2000,20,30,1.0060932191573044,1.0026703451334396,1.0167937368484496,1.0115099541797135,1.0070260568900213,1.021977356784881,1.0011521852560175,0.9999999999999952,1.006076233474738,1.0000000000000002,0.9999999999999977,1.0000000000000029
Gaussian,100,2000,40,30,1.000031395301912,1.0000210212331178,1.0001165732917192,1.0056833416989361,1.0051745556808551,1.0063437963086852,1.0000000000000004,0.9999999999999992,1.000624342664232,1.0,0.9999999999999996,1.0000000000000002
Spiked_rho0.5,100,2000,40,30,1.000759497066596,1.0001101241723633,1.0027598757474925,1.0094571458623989,1.0071446071002894,1.0136384254848072,1.0000470506296102,0.9999999999999976,1.0032640841291147,0.9999999999999999,0.9999999999999984,1.0000000000000016
Spiked_rho0.8,100,2000,40,30,1.00393122533458,1.0004665166197526,1.0226738899489982,1.0439541120778864,1.020298900824015,1.05843395496806,1.0013675160529014,0.9999999999999919,1.0094891778510602,1.0,0.999999999999993,1.0000000000000069
Gaussian,200,500,5,30,1.0004940256923307,1.0003561899280293,1.0007274812321114,1.1478588906560188,1.133074338337417,1.168696767882998,1.0001952062430313,0.9999999999999997,1.001229779590765,1.0,0.9999999999999998,1.0000000000000002
Spiked_rho0.5,200,500,5,30,1.000368315796928,1.0002670450925493,1.000508639801457,1.0074400099951488,1.0066994008950492,1.0083525729122436,1.0001784602163077,0.9999999999999994,1.0010225991595647,1.0,0.9999999999999997,1.0000000000000002
Spiked_rho0.8,200,500,5,30,1.002104200899569,1.0013403750758132,1.0032655048555992,1.007639525050931,1.0067004237561528,1.0086623034422997,1.0005288010956903,0.9999999999999986,1.0031836996512549,1.0,0.9999999999999991,1.0000000000000004
Gaussian,200,500,10,30,1.000597112296664,1.000484146198995,1.0009473850774517,1.1247999738225491,1.1123502672075134,1.138641736569203,1.0004849572290013,0.9999999999999997,1.0013165226179104,1.0,0.9999999999999998,1.0000000000000002
Spiked_rho0.5,200,500,10,30,1.0009013048222282,1.0006313201461425,1.0012156637265655,1.0124604986725645,1.0110757005729876,1.0134976264024256,1.0005864483895541,0.9999999999999994,1.0022916259363264,1.0,0.9999999999999997,1.0000000000000002
Spiked_rho0.8,200,500,10,30,1.0052904283675768,1.0039583340268452,1.0084018884434667,1.0157779892092353,1.0140858474752892,1.01891779614231,1.0015039195695388,0.9999999999999973,1.005966972069464,1.0,0.9999999999999988,1.0000000000000013
Gaussian,200,500,20,30,1.0007490582161638,1.0004772170036236,1.0010897160932573,1.0989661604730268,1.084440817558216,1.1089283353488302,1.001128900419568,0.9999999999999993,1.0034866146183008,1.0,0.9999999999999998,1.0000000000000002
Spiked_rho0.5,200,500,20,30,1.0027231808681516,1.0020989995004703,1.003532866259768,1.02282531928206,1.021374104365104,1.025687356303672,1.0024995248559812,1.000030594924687,1.0067355685022554,1.0,0.9999999999999994,1.0000000000000004
Spiked_rho0.8,200,500,20,30,1.0172910414303327,1.009868588009874,1.0245080132077822,1.0375610723079571,1.0294271479566075,1.0451933617907077,1.0060476584546143,0.999999999999994,1.0154778294890257,0.9999999999999998,0.9999999999999971,1.000000000000002
Gaussian,200,500,40,30,1.0010950986373772,1.0008618217327905,1.0018313305728113,1.0699417750145301,1.059700984805317,1.0783037198673628,1.0014462418566201,0.9999999999999997,1.0077157420371416,1.0,0.9999999999999997,1.0000000000000002
Spiked_rho0.5,200,500,40,30,1.0095042015331392,1.0067763502687292,1.0124571049704953,1.043416290403179,1.0380167445933839,1.049680871081579,1.0034864299951072,0.9999999999999992,1.0117802361031134,1.0,0.9999999999999986,1.0000000000000009
