lambda1,lambda2,exact_recovery,TP,FP,FN,conditional_bias,iterations,lambda1_ratio,lambda2_ratio
0.5924466935462863,0.004893900918477494,1,10,0,0,0.31606715954233333,5000,14.189260648386055,0.1172102679888243
0.6496037041136558,0.004893900918477494,1,10,0,0,0.346374784092616,5000,15.558186713224659,0.1172102679888243
0.7067607146810252,0.004893900918477494,1,10,0,0,0.3766824086428988,5000,16.927112778063265,0.1172102679888243
0.7639177252483946,0.004893900918477494,1,10,0,0,0.4069900331931815,5000,18.296038842901872,0.1172102679888243
0.8210747358157641,0.004893900918477494,1,10,0,0,0.4372976577434643,5000,19.664964907740476,0.1172102679888243
0.8782317463831335,0.004893900918477494,1,10,0,0,0.467605282293747,5000,21.033890972579083,0.1172102679888243
0.9353887569505029,0.004893900918477494,1,10,0,0,0.4979129068440297,5000,22.402817037417687,0.1172102679888243
0.9925457675178724,0.004893900918477494,1,10,0,0,0.5282205313943124,5000,23.771743102256295,0.1172102679888243
1.049702778085242,0.004893900918477494,1,10,0,0,0.558528155944595,5000,25.140669167094902,0.1172102679888243
1.1068597886526115,0.004893900918477494,1,10,0,0,0.588835780494878,5000,26.50959523193351,0.1172102679888243
1.1640167992199808,0.004893900918477494,1,10,0,0,0.6191434050451605,5000,27.878521296772114,0.1172102679888243
1.2211738097873501,0.004893900918477494,1,10,0,0,0.6494510295954434,5000,29.247447361610714,0.1172102679888243
1.2783308203547197,0.004893900918477494,1,10,0,0,0.6797586541457259,5000,30.616373426449325,0.1172102679888243
1.3354878309220892,0.004893900918477494,1,10,0,0,0.7100662786960087,5000,31.985299491287932,0.1172102679888243
1.3926448414894586,0.004893900918477494,1,10,0,0,0.7403739032462914,5000,33.354225556126536,0.1172102679888243
1.4498018520568279,0.004893900918477494,1,10,0,0,0.7706815277965742,5000,34.72315162096514,0.1172102679888243
1.5069588626241974,0.004893900918477494,1,10,0,0,0.800989152346857,5000,36.092077685803744,0.1172102679888243
1.564115873191567,0.004893900918477494,0,9,0,1,0.8118701833355271,5000,37.461003750642355,0.1172102679888243
1.6212728837589363,0.004893900918477494,0,8,0,2,0.8181017802698944,5000,38.82992981548096,0.1172102679888243
1.6784298943263056,0.004893900918477494,0,7,0,3,0.823885982305401,5000,40.19885588031956,0.1172102679888243
1.7355869048936752,0.004893900918477494,0,6,0,4,0.8260993708109551,5000,41.56778194515817,0.1172102679888243
1.7927439154610447,0.004893900918477494,0,6,0,4,0.8543765822509056,5000,42.93670800999678,0.1172102679888243
